,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
0,59,56,42,8,2,140.47,3,caught,2,,v Sri Lanka,Colombo (RPS),18 Jul 2021,ODI # 4307
1,1,13,4,0,0,25.00,3,bowled,2,,v Sri Lanka,Colombo (RPS),20 Jul 2021,ODI # 4309
2,28,82,36,2,1,77.77,2,caught,2,,v West Indies,Ahmedabad,6 Feb 2022,ODI # 4353
3,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,18 Aug 2022,ODI # 4451
4,6,25,13,0,0,46.15,4,bowled,2,,v Zimbabwe,Harare,20 Aug 2022,ODI # 4454
5,50,82,61,6,0,81.96,4,run out,1,,v Zimbabwe,Harare,22 Aug 2022,ODI # 4457
6,20,59,37,3,0,54.05,4,caught,2,,v South Africa,Lucknow,6 Oct 2022,ODI # 4470
7,93,116,84,4,7,110.71,3,caught,2,,v South Africa,Ranchi,9 Oct 2022,ODI # 4471
8,10,18,18,2,0,55.55,3,caught,2,,v South Africa,Delhi,11 Oct 2022,ODI # 4472
9,210,169,131,24,10,160.30,2,caught,1,,v Bangladesh,Chattogram,10 Dec 2022,ODI # 4499
10,5,19,14,0,0,35.71,4,caught,1,,v New Zealand,Hyderabad,18 Jan 2023,ODI # 4507
11,8*,7,9,2,0,88.88,4,not out,2,,v New Zealand,Raipur,21 Jan 2023,ODI # 4509
12,17,29,24,1,1,70.83,4,run out,1,,v New Zealand,Indore,24 Jan 2023,ODI # 4511
13,3,11,8,0,0,37.50,1,lbw,2,,v Australia,Wankhede,17 Mar 2023,ODI # 4538
14,52,73,46,7,1,113.04,1,caught,2,,v West Indies,Bridgetown,27 Jul 2023,ODI # 4622
15,55,79,55,6,1,100.00,1,caught,1,,v West Indies,Bridgetown,29 Jul 2023,ODI # 4623
16,77,85,64,8,3,120.31,1,stumped,1,,v West Indies,Tarouba,1 Aug 2023,ODI # 4624
17,82,116,81,9,2,101.23,5,caught,1,,v Pakistan,Pallekele,2 Sep 2023,ODI # 4630
18,DNB,-,-,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,ODI # 4632
19,DNB,-,-,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,ODI # 4639
20,33,82,61,1,1,54.09,4,caught,1,,v Sri Lanka,Colombo (RPS),12 Sep 2023,ODI # 4641
21,5,21,15,0,0,33.33,5,lbw,2,,v Bangladesh,Colombo (RPS),15 Sep 2023,ODI # 4645
22,23*,26,18,3,0,127.77,1,not out,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,ODI # 4649
23,18,29,26,2,0,69.23,5,caught,2,,v Australia,Mohali,22 Sep 2023,ODI # 4651
24,31,30,18,2,2,172.22,5,caught,1,,v Australia,Indore,24 Sep 2023,ODI # 4654
25,0,3,1,0,0,0.00,2,caught,2,,v Australia,Chennai,8 Oct 2023,ODI # 4662
26,47,78,47,5,2,100.00,2,caught,2,,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
